,ibns_20u,vgs_m1,name,type,time,OK
0,20.97307,0.684266,tran_SchGtKttmmTtVt_29,Sch,Wed Nov 19 12:07:35 2025,True
1,20.16554,0.6836421,tran_SchGtKttmmTtVt_28,Sch,Wed Nov 19 12:07:35 2025,True
2,20.43965,0.6855044,tran_SchGtKttmmTtVt_27,Sch,Wed Nov 19 12:07:35 2025,True
3,21.64528,0.6873685,tran_SchGtKttmmTtVt_26,Sch,Wed Nov 19 12:07:34 2025,True
4,21.63614,0.6884116,tran_SchGtKttmmTtVt_25,Sch,Wed Nov 19 12:07:34 2025,True
5,21.27579,0.6874244,tran_SchGtKttmmTtVt_24,Sch,Wed Nov 19 12:07:34 2025,True
6,20.41791,0.6871724,tran_SchGtKttmmTtVt_23,Sch,Wed Nov 19 12:07:34 2025,True
7,20.7942,0.6854176,tran_SchGtKttmmTtVt_22,Sch,Wed Nov 19 12:07:34 2025,True
8,19.83291,0.6835368,tran_SchGtKttmmTtVt_21,Sch,Wed Nov 19 12:07:34 2025,True
9,19.542759999999998,0.6841772,tran_SchGtKttmmTtVt_20,Sch,Wed Nov 19 12:07:34 2025,True
10,20.857409999999998,0.6870181,tran_SchGtKttmmTtVt_19,Sch,Wed Nov 19 12:07:34 2025,True
11,19.839599999999997,0.6828948,tran_SchGtKttmmTtVt_18,Sch,Wed Nov 19 12:07:34 2025,True
12,21.72434,0.689446,tran_SchGtKttmmTtVt_17,Sch,Wed Nov 19 12:07:33 2025,True
13,18.23398,0.6794457,tran_SchGtKttmmTtVt_16,Sch,Wed Nov 19 12:07:33 2025,True
14,21.49025,0.6884712,tran_SchGtKttmmTtVt_15,Sch,Wed Nov 19 12:07:33 2025,True
15,21.34641,0.6891343,tran_SchGtKttmmTtVt_14,Sch,Wed Nov 19 12:07:33 2025,True
16,20.35731,0.6858148,tran_SchGtKttmmTtVt_13,Sch,Wed Nov 19 12:07:33 2025,True
17,20.92978,0.6884096,tran_SchGtKttmmTtVt_12,Sch,Wed Nov 19 12:07:33 2025,True
18,22.2911,0.6902533,tran_SchGtKttmmTtVt_11,Sch,Wed Nov 19 12:07:33 2025,True
19,19.16928,0.6814261,tran_SchGtKttmmTtVt_10,Sch,Wed Nov 19 12:07:33 2025,True
20,20.828580000000002,0.6871866,tran_SchGtKttmmTtVt_9,Sch,Wed Nov 19 12:07:32 2025,True
21,20.73937,0.6877652,tran_SchGtKttmmTtVt_8,Sch,Wed Nov 19 12:07:32 2025,True
22,18.525940000000002,0.6804591,tran_SchGtKttmmTtVt_7,Sch,Wed Nov 19 12:07:32 2025,True
23,20.6963,0.6871827,tran_SchGtKttmmTtVt_6,Sch,Wed Nov 19 12:07:32 2025,True
24,21.00886,0.6885548,tran_SchGtKttmmTtVt_5,Sch,Wed Nov 19 12:07:32 2025,True
25,20.82132,0.6873087,tran_SchGtKttmmTtVt_4,Sch,Wed Nov 19 12:07:32 2025,True
26,20.727410000000003,0.686752,tran_SchGtKttmmTtVt_3,Sch,Wed Nov 19 12:07:32 2025,True
27,22.78023,0.6900248,tran_SchGtKttmmTtVt_2,Sch,Wed Nov 19 12:07:32 2025,True
28,21.07227,0.6860316,tran_SchGtKttmmTtVt_1,Sch,Wed Nov 19 12:07:32 2025,True
29,20.06469,0.6834065,tran_SchGtKttmmTtVt,Sch,Wed Nov 19 12:07:31 2025,True
